index	a/B	a/c	n	E/Sys	W	B	Sys	E	a	2c																																						
0.60_0.60_6_100	0.60	0.60	6.00	100.0	10.0000	1.0000	1.00	100.00	0.6000	2.0000																																						
**	**	phi	0	2	4	6	8	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90
step	stress	CMOD	J0	J2	J4	J6	J8	J10	J12	J14	J16	J18	J20	J22	J24	J26	J28	J30	J32	J34	J36	J38	J40	J42	J44	J46	J48	J50	J52	J54	J56	J58	J60	J62	J64	J66	J68	J70	J72	J74	J76	J78	J80	J82	J84	J86	J88	J90
1	7.3993e-02	2.2586e-03	9.0752e-02	9.1296e-02	9.0397e-02	8.7834e-02	8.5829e-02	8.4147e-02	8.2848e-02	8.1958e-02	8.1263e-02	8.0773e-02	8.0608e-02	8.0559e-02	8.0624e-02	8.0828e-02	8.1158e-02	8.1564e-02	8.2026e-02	8.2521e-02	8.3093e-02	8.3708e-02	8.4334e-02	8.4967e-02	8.5628e-02	8.6280e-02	8.6903e-02	8.7542e-02	8.8159e-02	8.8777e-02	8.9417e-02	8.9992e-02	9.0377e-02	9.0693e-02	9.1179e-02	9.1698e-02	9.2096e-02	9.2444e-02	9.2764e-02	9.3039e-02	9.3289e-02	9.3496e-02	9.3679e-02	9.3819e-02	9.3936e-02	9.4011e-02	9.4064e-02	9.4075e-02
2	1.4790e-01	4.5172e-03	3.2185e-01	3.2888e-01	3.2810e-01	3.1830e-01	3.1089e-01	3.0467e-01	2.9984e-01	2.9657e-01	2.9406e-01	2.9233e-01	2.9165e-01	2.9142e-01	2.9164e-01	2.9242e-01	2.9357e-01	2.9499e-01	2.9664e-01	2.9847e-01	3.0051e-01	3.0269e-01	3.0496e-01	3.0726e-01	3.0961e-01	3.1195e-01	3.1424e-01	3.1651e-01	3.1874e-01	3.2096e-01	3.2309e-01	3.2508e-01	3.2660e-01	3.2806e-01	3.2981e-01	3.3152e-01	3.3293e-01	3.3418e-01	3.3532e-01	3.3633e-01	3.3720e-01	3.3795e-01	3.3865e-01	3.3916e-01	3.3955e-01	3.3984e-01	3.4001e-01	3.4007e-01
3	2.2139e-01	6.7759e-03	6.9339e-01	7.3047e-01	7.4117e-01	7.2138e-01	7.0399e-01	6.8918e-01	6.7764e-01	6.6983e-01	6.6378e-01	6.5959e-01	6.5784e-01	6.5712e-01	6.5742e-01	6.5904e-01	6.6149e-01	6.6455e-01	6.6814e-01	6.7216e-01	6.7664e-01	6.8147e-01	6.8647e-01	6.9156e-01	6.9675e-01	7.0195e-01	7.0702e-01	7.1208e-01	7.1704e-01	7.2190e-01	7.2656e-01	7.3098e-01	7.3450e-01	7.3789e-01	7.4177e-01	7.4541e-01	7.4853e-01	7.5132e-01	7.5386e-01	7.5609e-01	7.5805e-01	7.5974e-01	7.6116e-01	7.6233e-01	7.6322e-01	7.6387e-01	7.6424e-01	7.6439e-01
4	2.9431e-01	9.0345e-03	1.1569e+00	1.2604e+00	1.3052e+00	1.2824e+00	1.2521e+00	1.2251e+00	1.2031e+00	1.1882e+00	1.1765e+00	1.1683e+00	1.1644e+00	1.1625e+00	1.1625e+00	1.1648e+00	1.1688e+00	1.1738e+00	1.1798e+00	1.1866e+00	1.1943e+00	1.2026e+00	1.2111e+00	1.2198e+00	1.2287e+00	1.2377e+00	1.2464e+00	1.2552e+00	1.2638e+00	1.2722e+00	1.2805e+00	1.2880e+00	1.2938e+00	1.2998e+00	1.3064e+00	1.3129e+00	1.3183e+00	1.3231e+00	1.3275e+00	1.3313e+00	1.3346e+00	1.3376e+00	1.3401e+00	1.3421e+00	1.3436e+00	1.3447e+00	1.3454e+00	1.3456e+00
5	3.6635e-01	1.1293e-02	1.6897e+00	1.8974e+00	2.0075e+00	2.0050e+00	1.9652e+00	1.9264e+00	1.8921e+00	1.8669e+00	1.8468e+00	1.8320e+00	1.8242e+00	1.8195e+00	1.8180e+00	1.8205e+00	1.8255e+00	1.8323e+00	1.8407e+00	1.8505e+00	1.8616e+00	1.8738e+00	1.8866e+00	1.8997e+00	1.9131e+00	1.9266e+00	1.9396e+00	1.9528e+00	1.9656e+00	1.9785e+00	1.9909e+00	2.0023e+00	2.0110e+00	2.0194e+00	2.0296e+00	2.0395e+00	2.0477e+00	2.0549e+00	2.0615e+00	2.0673e+00	2.0724e+00	2.0768e+00	2.0805e+00	2.0836e+00	2.0858e+00	2.0874e+00	2.0885e+00	2.0888e+00
6	4.3706e-01	1.3552e-02	2.2769e+00	2.6166e+00	2.8216e+00	2.8711e+00	2.8356e+00	2.7935e+00	2.7500e+00	2.7149e+00	2.6856e+00	2.6627e+00	2.6489e+00	2.6396e+00	2.6349e+00	2.6359e+00	2.6406e+00	2.6481e+00	2.6581e+00	2.6705e+00	2.6849e+00	2.7007e+00	2.7176e+00	2.7350e+00	2.7529e+00	2.7714e+00	2.7892e+00	2.8070e+00	2.8244e+00	2.8423e+00	2.8594e+00	2.8751e+00	2.8864e+00	2.8974e+00	2.9115e+00	2.9253e+00	2.9364e+00	2.9463e+00	2.9553e+00	2.9631e+00	2.9700e+00	2.9760e+00	2.9809e+00	2.9849e+00	2.9881e+00	2.9903e+00	2.9916e+00	2.9921e+00
7	5.0615e-01	1.5810e-02	2.9072e+00	3.3971e+00	3.7178e+00	3.8426e+00	3.8292e+00	3.7974e+00	3.7529e+00	3.7118e+00	3.6757e+00	3.6457e+00	3.6261e+00	3.6118e+00	3.6028e+00	3.6012e+00	3.6043e+00	3.6111e+00	3.6215e+00	3.6353e+00	3.6518e+00	3.6705e+00	3.6907e+00	3.7119e+00	3.7339e+00	3.7565e+00	3.7786e+00	3.8009e+00	3.8228e+00	3.8457e+00	3.8676e+00	3.8875e+00	3.9011e+00	3.9133e+00	3.9311e+00	3.9494e+00	3.9634e+00	3.9757e+00	3.9869e+00	3.9965e+00	4.0051e+00	4.0124e+00	4.0185e+00	4.0235e+00	4.0274e+00	4.0301e+00	4.0321e+00	4.0323e+00
8	5.7260e-01	1.8069e-02	3.5789e+00	4.2363e+00	4.6917e+00	4.9133e+00	4.9410e+00	4.9368e+00	4.9066e+00	4.8701e+00	4.8357e+00	4.8047e+00	4.7828e+00	4.7658e+00	4.7539e+00	4.7495e+00	4.7506e+00	4.7559e+00	4.7653e+00	4.7786e+00	4.7956e+00	4.8156e+00	4.8376e+00	4.8611e+00	4.8859e+00	4.9112e+00	4.9367e+00	4.9625e+00	4.9878e+00	5.0151e+00	5.0425e+00	5.0659e+00	5.0791e+00	5.0896e+00	5.1112e+00	5.1345e+00	5.1510e+00	5.1652e+00	5.1781e+00	5.1894e+00	5.1994e+00	5.2079e+00	5.2151e+00	5.2208e+00	5.2253e+00	5.2284e+00	5.2303e+00	5.2309e+00
9	6.3559e-01	2.0328e-02	4.2768e+00	5.1157e+00	5.7196e+00	6.0516e+00	6.1345e+00	6.1709e+00	6.1665e+00	6.1457e+00	6.1228e+00	6.0993e+00	6.0812e+00	6.0666e+00	6.0557e+00	6.0510e+00	6.0520e+00	6.0572e+00	6.0661e+00	6.0786e+00	6.0955e+00	6.1156e+00	6.1378e+00	6.1615e+00	6.1873e+00	6.2136e+00	6.2398e+00	6.2669e+00	6.2937e+00	6.3239e+00	6.3547e+00	6.3801e+00	6.3907e+00	6.3973e+00	6.4213e+00	6.4489e+00	6.4663e+00	6.4811e+00	6.4944e+00	6.5060e+00	6.5162e+00	6.5249e+00	6.5321e+00	6.5379e+00	6.5425e+00	6.5456e+00	6.5474e+00	6.5481e+00
