index	a/B	a/c	n	E/Sys	W	B	Sys	E	a	2c																																						
0.60_0.60_6_200	0.60	0.60	6.00	200.0	10.0000	1.0000	1.00	200.00	0.6000	2.0000																																						
**	**	phi	0	2	4	6	8	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90
step	stress	CMOD	J0	J2	J4	J6	J8	J10	J12	J14	J16	J18	J20	J22	J24	J26	J28	J30	J32	J34	J36	J38	J40	J42	J44	J46	J48	J50	J52	J54	J56	J58	J60	J62	J64	J66	J68	J70	J72	J74	J76	J78	J80	J82	J84	J86	J88	J90
1	1.4789e-01	2.2586e-03	1.6328e-01	1.6709e-01	1.6683e-01	1.6189e-01	1.5825e-01	1.5513e-01	1.5258e-01	1.5091e-01	1.4961e-01	1.4871e-01	1.4836e-01	1.4824e-01	1.4835e-01	1.4874e-01	1.4932e-01	1.5005e-01	1.5089e-01	1.5183e-01	1.5286e-01	1.5397e-01	1.5512e-01	1.5628e-01	1.5747e-01	1.5871e-01	1.5986e-01	1.6101e-01	1.6215e-01	1.6328e-01	1.6431e-01	1.6536e-01	1.6604e-01	1.6690e-01	1.6777e-01	1.6863e-01	1.6935e-01	1.7001e-01	1.7049e-01	1.7104e-01	1.7150e-01	1.7189e-01	1.7222e-01	1.7248e-01	1.7269e-01	1.7284e-01	1.7292e-01	1.7295e-01
2	2.9429e-01	4.5172e-03	5.7910e-01	6.3142e-01	6.5428e-01	6.4308e-01	6.2801e-01	6.1456e-01	6.0363e-01	5.9614e-01	5.9025e-01	5.8604e-01	5.8408e-01	5.8310e-01	5.8308e-01	5.8427e-01	5.8623e-01	5.8873e-01	5.9172e-01	5.9512e-01	5.9895e-01	6.0309e-01	6.0738e-01	6.1175e-01	6.1625e-01	6.2074e-01	6.2511e-01	6.2946e-01	6.3374e-01	6.3797e-01	6.4210e-01	6.4593e-01	6.4892e-01	6.5178e-01	6.5510e-01	6.5834e-01	6.6104e-01	6.6346e-01	6.6566e-01	6.6759e-01	6.6929e-01	6.7076e-01	6.7200e-01	6.7299e-01	6.7377e-01	6.7432e-01	6.7466e-01	6.7476e-01
3	4.3721e-01	6.7759e-03	1.1380e+00	1.3068e+00	1.4085e+00	1.4326e+00	1.4141e+00	1.3925e+00	1.3704e+00	1.3526e+00	1.3378e+00	1.3261e+00	1.3193e+00	1.3148e+00	1.3124e+00	1.3129e+00	1.3154e+00	1.3192e+00	1.3243e+00	1.3305e+00	1.3378e+00	1.3457e+00	1.3542e+00	1.3629e+00	1.3719e+00	1.3810e+00	1.3900e+00	1.3990e+00	1.4078e+00	1.4168e+00	1.4254e+00	1.4334e+00	1.4390e+00	1.4441e+00	1.4512e+00	1.4583e+00	1.4639e+00	1.4688e+00	1.4733e+00	1.4773e+00	1.4808e+00	1.4837e+00	1.4862e+00	1.4883e+00	1.4899e+00	1.4910e+00	1.4917e+00	1.4919e+00
4	5.7270e-01	9.0345e-03	1.8016e+00	2.1214e+00	2.3449e+00	2.4570e+00	2.4713e+00	2.4695e+00	2.4546e+00	2.4369e+00	2.4202e+00	2.4052e+00	2.3940e+00	2.3853e+00	2.3794e+00	2.3772e+00	2.3778e+00	2.3804e+00	2.3852e+00	2.3920e+00	2.4004e+00	2.4103e+00	2.4213e+00	2.4331e+00	2.4454e+00	2.4580e+00	2.4710e+00	2.4834e+00	2.4960e+00	2.5097e+00	2.5234e+00	2.5352e+00	2.5417e+00	2.5469e+00	2.5578e+00	2.5696e+00	2.5779e+00	2.5851e+00	2.5916e+00	2.5973e+00	2.6023e+00	2.6064e+00	2.6103e+00	2.6130e+00	2.6151e+00	2.6168e+00	2.6177e+00	2.6180e+00
5	6.9422e-01	1.1293e-02	2.5317e+00	3.0255e+00	3.3950e+00	3.6208e+00	3.6959e+00	3.7399e+00	3.7551e+00	3.7568e+00	3.7554e+00	3.7517e+00	3.7476e+00	3.7442e+00	3.7420e+00	3.7420e+00	3.7436e+00	3.7468e+00	3.7519e+00	3.7586e+00	3.7669e+00	3.7767e+00	3.7878e+00	3.7997e+00	3.8119e+00	3.8249e+00	3.8379e+00	3.8509e+00	3.8640e+00	3.8798e+00	3.8960e+00	3.9088e+00	3.9115e+00	3.9110e+00	3.9235e+00	3.9388e+00	3.9473e+00	3.9541e+00	3.9603e+00	3.9657e+00	3.9704e+00	3.9744e+00	3.9777e+00	3.9804e+00	3.9825e+00	3.9839e+00	3.9848e+00	3.9851e+00
6	7.9318e-01	1.3552e-02	3.3126e+00	3.9995e+00	4.5288e+00	4.8757e+00	5.0303e+00	5.1386e+00	5.2013e+00	5.2359e+00	5.2625e+00	5.2825e+00	5.2972e+00	5.3102e+00	5.3218e+00	5.3321e+00	5.3423e+00	5.3523e+00	5.3621e+00	5.3710e+00	5.3807e+00	5.3911e+00	5.4017e+00	5.4119e+00	5.4221e+00	5.4319e+00	5.4409e+00	5.4497e+00	5.4583e+00	5.4719e+00	5.4864e+00	5.4946e+00	5.4864e+00	5.4722e+00	5.4819e+00	5.4979e+00	5.5027e+00	5.5054e+00	5.5080e+00	5.5101e+00	5.5120e+00	5.5135e+00	5.5148e+00	5.5158e+00	5.5166e+00	5.5171e+00	5.5174e+00	5.5176e+00
7	8.6858e-01	1.5810e-02	4.1122e+00	5.0099e+00	5.7100e+00	6.1814e+00	6.4183e+00	6.5965e+00	6.7164e+00	6.7951e+00	6.8590e+00	6.9087e+00	6.9466e+00	6.9805e+00	7.0107e+00	7.0361e+00	7.0589e+00	7.0795e+00	7.0977e+00	7.1119e+00	7.1251e+00	7.1373e+00	7.1478e+00	7.1559e+00	7.1623e+00	7.1670e+00	7.1695e+00	7.1705e+00	7.1709e+00	7.1792e+00	7.1885e+00	7.1885e+00	7.1648e+00	7.1320e+00	7.1371e+00	7.1517e+00	7.1503e+00	7.1471e+00	7.1444e+00	7.1423e+00	7.1404e+00	7.1392e+00	7.1381e+00	7.1375e+00	7.1369e+00	7.1368e+00	7.1364e+00	7.1365e+00
8	9.1927e-01	1.8069e-02	4.9375e+00	6.0618e+00	6.9435e+00	7.5446e+00	7.8639e+00	8.1110e+00	8.2856e+00	8.4085e+00	8.5120e+00	8.5964e+00	8.6585e+00	8.7123e+00	8.7582e+00	8.7963e+00	8.8289e+00	8.8572e+00	8.8814e+00	8.8991e+00	8.9134e+00	8.9253e+00	8.9342e+00	8.9392e+00	8.9406e+00	8.9393e+00	8.9346e+00	8.9273e+00	8.9191e+00	8.9211e+00	8.9250e+00	8.9170e+00	8.8786e+00	8.8278e+00	8.8276e+00	8.8413e+00	8.8346e+00	8.8261e+00	8.8189e+00	8.8131e+00	8.8082e+00	8.8045e+00	8.8015e+00	8.7995e+00	8.7979e+00	8.7971e+00	8.7964e+00	8.7964e+00
9	9.4613e-01	2.0328e-02	5.7345e+00	7.0991e+00	8.1730e+00	8.9101e+00	9.3122e+00	9.6280e+00	9.8572e+00	1.0023e+01	1.0165e+01	1.0283e+01	1.0373e+01	1.0451e+01	1.0519e+01	1.0572e+01	1.0616e+01	1.0652e+01	1.0682e+01	1.0702e+01	1.0718e+01	1.0731e+01	1.0739e+01	1.0741e+01	1.0738e+01	1.0731e+01	1.0719e+01	1.0704e+01	1.0687e+01	1.0683e+01	1.0682e+01	1.0666e+01	1.0613e+01	1.0546e+01	1.0540e+01	1.0551e+01	1.0538e+01	1.0524e+01	1.0512e+01	1.0502e+01	1.0493e+01	1.0487e+01	1.0481e+01	1.0478e+01	1.0475e+01	1.0473e+01	1.0472e+01	1.0472e+01
10	9.6486e-01	2.2586e-02	6.4815e+00	8.0904e+00	9.3606e+00	1.0239e+01	1.0725e+01	1.1110e+01	1.1394e+01	1.1604e+01	1.1785e+01	1.1938e+01	1.2057e+01	1.2162e+01	1.2252e+01	1.2325e+01	1.2384e+01	1.2434e+01	1.2475e+01	1.2502e+01	1.2523e+01	1.2538e+01	1.2547e+01	1.2549e+01	1.2544e+01	1.2533e+01	1.2516e+01	1.2495e+01	1.2472e+01	1.2463e+01	1.2457e+01	1.2434e+01	1.2369e+01	1.2286e+01	1.2276e+01	1.2285e+01	1.2267e+01	1.2247e+01	1.2231e+01	1.2217e+01	1.2206e+01	1.2197e+01	1.2190e+01	1.2184e+01	1.2181e+01	1.2178e+01	1.2177e+01	1.2176e+01
11	9.7807e-01	2.4845e-02	7.1946e+00	9.0503e+00	1.0520e+01	1.1543e+01	1.2113e+01	1.2568e+01	1.2908e+01	1.3162e+01	1.3383e+01	1.3570e+01	1.3719e+01	1.3852e+01	1.3967e+01	1.4061e+01	1.4140e+01	1.4207e+01	1.4262e+01	1.4299e+01	1.4327e+01	1.4347e+01	1.4359e+01	1.4361e+01	1.4356e+01	1.4343e+01	1.4322e+01	1.4296e+01	1.4268e+01	1.4255e+01	1.4245e+01	1.4215e+01	1.4138e+01	1.4042e+01	1.4028e+01	1.4035e+01	1.4012e+01	1.3988e+01	1.3967e+01	1.3951e+01	1.3937e+01	1.3926e+01	1.3917e+01	1.3911e+01	1.3906e+01	1.3903e+01	1.3901e+01	1.3901e+01
12	9.8863e-01	2.7103e-02	7.8882e+00	9.9910e+00	1.1663e+01	1.2837e+01	1.3493e+01	1.4019e+01	1.4415e+01	1.4713e+01	1.4973e+01	1.5195e+01	1.5373e+01	1.5531e+01	1.5669e+01	1.5784e+01	1.5882e+01	1.5965e+01	1.6033e+01	1.6082e+01	1.6119e+01	1.6146e+01	1.6163e+01	1.6168e+01	1.6163e+01	1.6148e+01	1.6124e+01	1.6092e+01	1.6058e+01	1.6039e+01	1.6024e+01	1.5987e+01	1.5899e+01	1.5790e+01	1.5770e+01	1.5775e+01	1.5746e+01	1.5717e+01	1.5692e+01	1.5671e+01	1.5654e+01	1.5640e+01	1.5629e+01	1.5622e+01	1.5616e+01	1.5612e+01	1.5610e+01	1.5609e+01
13	9.9793e-01	2.9362e-02	8.5767e+00	1.0927e+01	1.2802e+01	1.4128e+01	1.4871e+01	1.5468e+01	1.5920e+01	1.6263e+01	1.6562e+01	1.6818e+01	1.7023e+01	1.7207e+01	1.7368e+01	1.7504e+01	1.7619e+01	1.7718e+01	1.7801e+01	1.7862e+01	1.7909e+01	1.7943e+01	1.7965e+01	1.7974e+01	1.7969e+01	1.7952e+01	1.7924e+01	1.7887e+01	1.7845e+01	1.7821e+01	1.7801e+01	1.7756e+01	1.7658e+01	1.7536e+01	1.7510e+01	1.7512e+01	1.7477e+01	1.7443e+01	1.7413e+01	1.7388e+01	1.7367e+01	1.7351e+01	1.7338e+01	1.7328e+01	1.7321e+01	1.7316e+01	1.7313e+01	1.7313e+01
